"date","PRC","AbsSpread","LogAbsSpread","RelSpreadMid","RelSpreadLast","RelLogSpread","LogRelLogSpread","Turnover","TradingVolume","NUMTRD","LR1","FlowRatio","avg_sentiment","headline_count","anomaly_score","rare_event_iforest","lof_score","rare_event_lof","z_sum","liquidity_class"
2020-02-04,887.06,2.12994000000003,0.756093810310511,0.00240221957807719,0.00240112281018199,0.00240222073327789,-6.03136166392705,53802171579.1,60652235,1290000,418307523493.238,69404801337039000,0.0535507157099034,65,0.754907953143208,TRUE,1.61591270234514,FALSE,-26.4678493709157,"Low Liquidity"
2020-03-18,361.22,1.01001000000002,0.00996023179427489,0.00279228125447225,0.00279610763523621,0.00279228306871993,-5.88089571357652,8567499040.6,23718230,436278,49023515471.6568,3737811346434887,-0.017172562844449,32,0.727433963038892,TRUE,1.64010823966857,FALSE,-36.927468349861,"Low Liquidity"
2020-12-18,695,0.0100099999999657,-4.60417068565844,1.50527448706071e-05,1.44028776977923e-05,1.50527448710136e-05,-11.1039501999432,155183345355,223285389,2130000,2680035016969.84,330540525606150016,0.0626312474281629,28,0.724075025200946,TRUE,3.3275167958247,TRUE,41.7301662182261,"High Liquidity"
2020-07-22,1592.32996,2.80004000000008,1.02963370279343,0.00175884121356858,0.00175845463587213,0.00175884166698648,-6.34309983036144,22522207942.9526,14144184,561094,1484865261795.47,12637075743543068,0.107941654126315,99,0.705142990665094,TRUE,1.60610778636259,FALSE,-26.687158227452,"Low Liquidity"
2024-11-11,350,0.16998000000001,-1.7720744959116,0.000485054289668582,0.00048565714285717,0.000485054299178778,-7.63124971622387,73161206300,209032018,3240000,852626066295.216,2.37042308412e+17,0.251648225126725,30,0.702238340265219,TRUE,1.74759853686608,FALSE,22.5124392003044,"High Liquidity"
2020-07-13,1497.06006,2.51000999999997,0.920286737199488,0.00167853788911532,0.00167662612013039,0.00167853828322073,-6.38983193380861,58133098199.3104,38831507,1410000,1857635534211.29,81967668461027696,0.0602167770446738,13,0.690509829055693,TRUE,1.36355277471277,FALSE,-22.2058844131479,"Low Liquidity"
2020-08-27,2238.75,2.76000999999997,1.01523430291089,0.00123303907014661,0.00123283528754884,0.00123303922637064,-6.69827324154228,52820194387.5,23593610,917640,1355179266087.94,48469923177745504,0.060974558205006,3,0.646498944923692,TRUE,1.3357530722768,FALSE,-21.965707767903,"Low Liquidity"
2020-08-04,1487,2.39001000000007,0.871297550035116,0.00160857320433079,0.00160726967047752,0.00160857355117994,-6.43240748576554,12474883152,8389296,259801,9268836782781.46,3240987117772752,0,1,0.643207774226824,TRUE,1.22687301094994,FALSE,-30.7615558222852,"Low Liquidity"
2020-03-16,445.07001,0.96999999999997,-0.030459207484739,0.00218225171976615,0.0021794323998599,0.00218225258579707,-6.12739763942704,9100206297.41685,20446685,385650,44278444518.2103,3509494558598809,0.116889903681434,15,0.639126434209238,TRUE,1.23465753429522,FALSE,-29.736519384309,"Low Liquidity"
2020-09-10,371.34,0.709990000000005,-0.342504393552999,0.0019144679445399,0.00191196746916574,0.00191446852928134,-6.2583152252696,31431411458.1,84643215,1410000,2290916407334.69,44318290155921000,0.0608914950283331,10,0.638434577366303,TRUE,1.23814120532,FALSE,-18.8891277596455,"Low Liquidity"
2024-10-24,260.48001,0.00997999999998456,-4.60717218866031,3.83043236292562e-05,3.83138805929275e-05,3.8304323633831e-05,-10.1699477795373,52795555971.1763,202685634,2600000,266392621080.316,137268445525058480,0.176417766899946,153,0.63684006670509,TRUE,1.84534889137413,FALSE,32.7639421755408,"High Liquidity"
2015-05-06,230.42999,0.439999999999998,-0.820980552069835,0.00190657769304098,0.00190947367571382,0.0019065782705816,-6.26244512491635,1214396694.48867,5270133,46633,111650664181.118,56630961054090.2,0.0516251071961576,74,0.628990188521999,TRUE,1.60223761644096,FALSE,-22.0301183070832,"Low Liquidity"
2024-04-29,194.05,0.110000000000014,-2.2072749131896,0.000566440948531186,0.000566864210255159,0.000566440963676307,-7.4761376953251,46986343710.1,242135242,2660000,329897182525.981,124983674268866016,0.145305941585219,59,0.611100617571298,TRUE,1.3129399213998,FALSE,15.4760368293017,"High Liquidity"
2023-01-27,177.89999,0.0399899999999889,-3.21912585612369,0.000224814487992249,0.000224789220055543,0.000224814488939629,-8.4002349894433,54484656961.8435,306265655,2630000,522075487832.007,143294647809648272,0.0916888150111266,21,0.596107918186653,TRUE,1.44099265496145,FALSE,21.2340255454324,"High Liquidity"
2021-03-19,654.87,0.989990000000034,-0.0100604369145833,0.00151264759970392,0.00151173515354198,0.00151264788812888,-6.49389359556387,28001277231.36,42758528,1060000,10709311810476.2,29681353865241600,-0.0872443234747522,24,0.59603456301195,TRUE,1.25252832982428,FALSE,-17.1989542561521,"Low Liquidity"
2022-04-29,870.76001,1.41003999999998,0.343618072782003,0.00161908860964317,0.00161932103427669,0.00161908896333962,-6.42589165623509,25452196668.9386,29229864,892243,3296080834909.96,22709544312483820,0.114853202451626,35,0.595481444059162,TRUE,1.19373760714319,FALSE,-20.4574100241816,"Low Liquidity"
2020-03-23,434.29001,0.839999999999975,-0.174353387144808,0.00193606375328863,0.00193419139436335,0.00193606435804128,-6.24709804789036,7145245853.26706,16452706,286426,455457133877.849,2046584188767871,0,1,0.594525561918542,TRUE,1.2034748135689,FALSE,-28.4530038938224,"Low Liquidity"
