"date","PRC","AbsSpread","LogAbsSpread","RelSpreadMid","RelSpreadLast","RelLogSpread","LogRelLogSpread","Turnover","TradingVolume","NUMTRD","LR1","FlowRatio","avg_sentiment","headline_count","anomaly_score","rare_event_iforest","lof_score","rare_event_lof","z_sum","liquidity_class"
2024-02-29,791.12,4.22997999999995,1.44219726491461,0.00533909733057624,0.00534682475477798,0.0053391100136384,-5.2326963040127,39920094784.24,50460227,770479,2159521962207.75,30757594709266448,0.0965788865367009,4,0.843934482909266,TRUE,6.29408410409377,TRUE,-91.1142964326204,"Low Liquidity"
2024-06-21,126.57,0.00999999999999091,-4.605170185989,7.86998780151175e-05,7.90076637433113e-05,7.86998780561987e-05,-9.44986895201863,83225134733.22,657542346,3270000,2543477158175.3,272146190577629408,-0.0514853132077782,4,0.68694970187415,TRUE,1.51493372744415,FALSE,36.8614779661954,"High Liquidity"
2024-08-05,100.45,0.0300000000000011,-3.50655789731994,0.00029819591471598,0.000298656047784979,0.000298195916926147,-8.11775984812796,55017159511.3,547706914,4770000,837540816345.254,262431850868901024,-0.185741088298767,8,0.678134872138316,TRUE,1.29593346577808,FALSE,29.5706909700399,"High Liquidity"
2024-04-26,877.34998,1.44000000000005,0.364643113587947,0.00164098825828464,0.00164130624360424,0.00164098862652828,-6.41245639771582,48054783382.047,54772650,1060000,801930733720.851,50938070384969816,0.401549505276506,3,0.672950883295683,TRUE,1.69765949558364,FALSE,-20.6589845340048,"Low Liquidity"
2024-03-08,875.28003,0.760010000000079,-0.274423687893483,0.000868195874955324,0.000868304969782161,0.000868195929490057,-7.04909314355707,98903122138.4393,112995977,2550000,1732855485810.16,252202961453020256,-0.00780971045506078,3,0.672530036332234,TRUE,2.31957862175958,FALSE,6.93850589722046,"High Liquidity"
2024-12-18,128.91,0.260010000000023,-1.34703518716769,0.00201824101458369,0.00201698859669554,0.00201824169965814,-6.20552859234067,35540771762.19,275702209,2100000,3113385824951.3,74635620700599008,-0.01922370596368,7,0.672141126613159,TRUE,1.52036660025206,FALSE,-13.7065695820925,"Low Liquidity"
2024-06-20,130.78,0.0600000000000023,-2.81341071676,0.000458891013384339,0.000458785747056142,0.000458891021437147,-7.68669780215662,66990525658.68,512238306,4070000,1858506739450.81,272651439430827616,0.0633150964570841,5,0.661278818989026,TRUE,1.22565223217983,FALSE,27.8408304067842,"High Liquidity"
2024-10-30,139.33501,0.310020000000009,-1.17111846745496,0.0022249973086447,0.00222499714895781,0.00222499822657074,-6.10799916041111,24836284536.322,178248701,1310000,1819482332017.91,32535532742581840,0.0400383493046616,2,0.655126361843231,TRUE,1.50079376298267,FALSE,-22.9161792552799,"Low Liquidity"
2024-04-01,903.63,0.739990000000034,-0.301118606388697,0.000819143876922804,0.000818908181445984,0.000819143922726084,-7.1072507597256,40618614893.22,44950494,875295,524325390090642,35553270522961000,0,0,0.655036295195151,TRUE,4.69439526237286,TRUE,23.5943835391513,"High Liquidity"
2024-05-29,1148.25,1.55005000000006,0.438287188475427,0.0013502001104054,0.00134992379708257,0.00135020031552724,-6.60750231566727,63528970542,55326776,1370000,7862913452132.4,87034689642540000,0.156052127868955,2,0.654811439176944,TRUE,1.40472906541161,FALSE,-16.5499563695382,"Low Liquidity"
2024-08-28,125.61,0.0699999999999932,-2.65926003693288,0.000557213930348204,0.000557280471300001,0.0005572139447656,-7.49256128987214,55826294805.24,444441484,3230000,2634632745887.66,180318932220925184,0.0701817525599932,47,0.641165111790832,TRUE,1.50403509455173,FALSE,27.0356395386697,"High Liquidity"
2022-01-26,227.72,0.490010000000012,-0.713329479922418,0.00214949658610984,0.00215180923941688,0.00214949741372639,-6.14252122522644,17116159577.32,75163181,1060000,861436026084.794,18143129151959200,0,0,0.639769066773159,TRUE,1.43468058674781,FALSE,-27.7508651917,"Low Liquidity"
2024-07-12,129.24001,0.25,-1.38629436111989,0.00193416115430738,0.00193438548944711,0.00193416175727901,-6.24808124673139,32349828326.0415,250308154,1740000,2255998067512.99,56288701287312280,0.025,2,0.634289203322519,TRUE,1.40665966208383,FALSE,-15.2711971447615,"Low Liquidity"
2024-06-06,1209.97998,0.0100099999999657,-4.60417068565844,8.27672859215419e-06,8.27286415099666e-06,8.27672859227135e-06,-11.7020627651905,79750547609.1073,65910634,1920000,6731634148794.25,153121051409486080,-0.104357094751012,5,0.624574442772266,TRUE,2.26792793459411,FALSE,23.3587115640869,"High Liquidity"
2024-03-18,884.54999,0.0399800000000141,-3.21937594990953,4.5199145308824e-05,4.51981238505402e-05,4.51991453163103e-05,-10.0044323802361,58803773224.9625,66478745,1380000,8380406415649.07,81149207050448320,0.175108042726468,96,0.622894782667295,TRUE,2.34960740164774,FALSE,34.3220675852167,"High Liquidity"
2024-06-24,118.11,0.00999999999999091,-4.605170185989,8.46991064243502e-05,8.46668360002617e-05,8.46991064751279e-05,-9.37640550565202,55921275952.5,473467750,3740000,808354818594.902,209145572062350016,0.0198114289221832,12,0.622529328311488,TRUE,1.11293450370629,FALSE,32.1159558893117,"High Liquidity"
2024-11-21,146.67,0.0199999999999818,-3.91202300542906,0.000136407038603068,0.000136360537260393,0.000136407038814568,-8.89986720967399,58484467282.23,398748669,2920000,10968061030190.9,170774644464111584,0.0526131741749354,27,0.619671745336999,TRUE,1.30504832446002,FALSE,30.0697905992499,"High Liquidity"
