"date","PRC","AbsSpread","LogAbsSpread","RelSpreadMid","RelSpreadLast","RelLogSpread","LogRelLogSpread","Turnover","TradingVolume","LR1","avg_sentiment","headline_count","anomaly_score","rare_event_iforest","lof_score","rare_event_lof","z_sum","liquidity_class"
2020-04-13,98.19,0.170000000000002,-1.77195684193187,0.00172913594059911,0.00173133720338122,0.00172913637142891,-6.36013320238441,2642484272.31,26911949,58087052155.1556,0,0,0.822646492195116,TRUE,3.80017272309062,TRUE,-70.9790981093597,"Low Liquidity"
2020-12-18,119.08,0.140000000000001,-1.96611285637283,0.00117964273677115,0.00117568021498153,0.00117964287356642,-6.74254353583215,3447933297.12,28954764,697620677099.174,0.27856330870524,8,0.779137186247004,TRUE,2.2670924968987,TRUE,-44.9128207833873,"Low Liquidity"
2024-12-24,242.31,0.189999999999998,-1.66073120682166,0.000783812215094564,0.000784119516322057,0.000783812255223282,-7.15134103666994,903596282.52,3729092,55401671492.5518,0.229415733870562,2,0.752629778798513,TRUE,2.45298923530376,TRUE,-45.6258644245896,"Low Liquidity"
2021-03-19,155.14,0.0100099999999941,-4.6041706856556,6.47623956017346e-05,6.45223668943798e-05,6.47623956240295e-05,-9.64478543749763,8442537596.48,54418832,526034878167.215,0.501901147542782,1,0.672397735687173,TRUE,3.0554645344473,TRUE,23.0692291643126,"High Liquidity"
2020-06-26,92.59,0.0699999999999932,-2.65926003693288,0.000756225355155763,0.000756021168592647,0.000756225391194576,-7.18717108971783,3879180639.16,41896324,68806531094.6784,0.0235702260395516,1,0.667508284557711,TRUE,1.22786552757794,FALSE,-24.6217304301189,"Low Liquidity"
2022-05-05,123.92,0.0999999999999943,-2.3025850929941,0.000806061583104903,0.000806972240154893,0.0008060616267489,-7.12335035839433,1865665291.92,15055401,73631171003.6401,0,1,0.655531114114703,TRUE,1.20000636495054,FALSE,-36.5670813680466,"Low Liquidity"
2024-04-11,195.42999,0.0799999999999841,-2.52572864430845,0.000409542336438948,0.00040935375374058,0.000409542342163505,-7.80047026034985,1981210414.19301,10137699,9678269537480.57,-0.233333333333333,1,0.645158770676289,TRUE,2.39096877728605,TRUE,-16.6561327446204,"Low Liquidity"
2016-04-13,61.79,0.0300000000000011,-3.50655789731994,0.000485397621551673,0.000485515455575354,0.00048539763108213,-7.6305421450254,2318161465.46,37516774,55900317546.3146,0.107385108193775,63,0.641168860591986,TRUE,1.25197250587919,FALSE,-3.68749493214371,"Low Liquidity"
2020-11-09,116.9,0.0699999999999932,-2.65926003693288,0.000598213904200258,0.000598802395209523,0.000598213922040181,-7.42156213881928,5586932261.4,47792406,43999108769.2775,0.109663060674559,5,0.639962857389826,TRUE,1.59421701524107,FALSE,-14.7850695318712,"Low Liquidity"
2021-06-15,155.17999,0.0999899999999911,-2.30268509799447,0.00064401646773096,0.000644348540040447,0.000644016489990129,-7.347786226613,3799656386.36521,24485479,248600304943.589,0.0935905770299035,7,0.633144844794221,TRUE,1.11078671958503,FALSE,-25.2818978133222,"Low Liquidity"
2021-11-26,161.92999,0.109999999999985,-2.20727491318986,0.000678656260603913,0.000679305914858546,0.000678656286651425,-7.29539576379688,2205369226.48724,13619276,72093881263.0909,0.0559016994374947,1,0.632041871720871,TRUE,1.17195063006812,FALSE,-32.5926679238101,"Low Liquidity"
2020-04-30,95.76,0.0700000000000074,-2.65926003693267,0.000731261425959858,0.000730994152046861,0.000731261458546406,-7.22073948973393,1831662040.32,19127632,84436308924.4415,-0.0197281259515244,7,0.628332792875963,TRUE,1.11740565560076,FALSE,-29.5467241820665,"Low Liquidity"
2016-02-23,56.12,0.019999999999996,-3.91202300542834,0.000356442701835609,0.000356379187455382,0.000356442705609084,-7.93933704460474,1783075169.28,31772544,41728526653.3975,0.0875522723187396,72,0.624067766049963,TRUE,1.41758746281425,FALSE,2.08664101898335,"High Liquidity"
2024-04-12,182.78999,0.0400100000000236,-3.2186258561124,0.000218669721302263,0.000218885071332537,0.000218669722173992,-8.42794808442925,5763790263.99692,31532308,86201297732.8033,0.0489543213486941,55,0.620480786012447,TRUE,1.21133240189852,FALSE,6.89920184713175,"High Liquidity"
2022-01-14,157.89,0.00999000000001615,-4.60617068632006,6.32698965538214e-05,6.3271898157047e-05,6.32698965752354e-05,-9.66810090946407,6340603776.18,40158362,99956702792.2087,0.116133024745326,51,0.606646073464427,TRUE,1.33710265471311,FALSE,21.6354935521111,"High Liquidity"
2021-04-30,153.81,0.0999999999999943,-2.3025850929941,0.000649941505264489,0.000650152785904651,0.000649941528143572,-7.33862815582314,1800356047.65,11705065,201560260908.936,0.163299316185545,2,0.606527361454852,TRUE,1.12175009586114,FALSE,-30.3108192114563,"Low Liquidity"
2024-12-20,237.60001,0.0699999999999932,-2.65926003693288,0.000294495046172587,0.000294612782213238,0.000294495048301258,-8.13024836893162,7685983489.88414,32348414,389719754566.692,0.0401646739388767,7,0.606094309506691,TRUE,2.44829046926883,TRUE,-3.5210851695578,"Low Liquidity"
2020-03-26,98.12,0.0699999999999932,-2.65926003693288,0.000715197956577197,0.000713412148389657,0.000715197987062766,-7.24295114861849,2927942599.12,29840426,43478867710.0965,0.081329001631984,4,0.603505063986312,TRUE,1.07487124807612,FALSE,-25.4759627319375,"Low Liquidity"
2022-01-13,168.23,0.0900100000000066,-2.40783450371307,0.00053426325966062,0.000535041312488894,0.000534263272369273,-7.53462182108011,2291867610.14,13623418,1837149924371.32,0.0769769113805318,3,0.602047697671066,TRUE,1.12696545616134,FALSE,-23.7699598901598,"Low Liquidity"
